facility_id,customer_id,distance_sdu,unit_cost_usd_per_unit,provenance
FAC_NW,ZONE_01,12.6491,40.48,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_02,10.1980,32.63,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_03,16.1555,51.70,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_04,34.4819,110.34,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_05,48.5077,155.22,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_06,64.2573,205.62,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_07,36.2353,115.95,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_08,42.4264,135.76,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_09,58.8558,188.34,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_10,72.1803,230.98,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_11,71.7008,229.44,DERIVED_SCENARIO_VALUE
FAC_NW,ZONE_12,97.6729,312.55,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_01,58.6941,187.82,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_02,63.0000,201.60,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_03,48.7647,156.05,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_04,23.3238,74.64,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_05,7.0711,22.63,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_06,22.1359,70.84,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_07,39.6989,127.04,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_08,61.7171,197.49,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_09,84.2912,269.73,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_10,79.7559,255.22,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_11,53.4603,171.07,DERIVED_SCENARIO_VALUE
FAC_SW,ZONE_12,71.1969,227.83,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_01,52.8015,168.96,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_02,47.2017,151.05,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_03,26.6271,85.21,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_04,40.3113,129.00,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_05,30.4795,97.53,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_06,32.7567,104.82,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_07,5.3852,17.23,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_08,25.0599,80.19,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_09,47.2017,151.05,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_10,43.6578,139.70,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_11,30.8058,98.58,DERIVED_SCENARIO_VALUE
FAC_C,ZONE_12,56.6392,181.25,DERIVED_SCENARIO_VALUE
